0,Motorcycle,1,Engine,0,Motorcycle,2,Frame
0,Motorcycle,1,Engine,1,Engine,1.1,Transmission
0,Motorcycle,1,Engine,1,Engine,1.3,Battery
0,Motorcycle,2,Frame,1,Engine,1.1,Transmission
0,Motorcycle,2,Frame,1,Engine,1.3,Battery
0,Motorcycle,2,Frame,1.1,Transmission,1.1.1,Clutch
0,Motorcycle,1,Engine,1.1,Transmission,1.1.3,Belt
0,Motorcycle,1,Engine,1.1,Transmission,1.1.2,Variator
0,Motorcycle,2,Frame,1.1,Transmission,1.1.2,Variator
0,Motorcycle,2,Frame,1.1,Transmission,1.1.3,Belt
0,Motorcycle,1,Engine,1.1,Transmission,1.1.1,Clutch
0,Motorcycle,1,Engine,1.1.1,Clutch,1.1.1.2,Torque Plates
0,Motorcycle,2,Frame,1.1.1,Clutch,1.1.1.2,Torque Plates
0,Motorcycle,2,Frame,1.3,Battery,1.3.2,Starter
0,Motorcycle,2,Frame,1.3,Battery,1.3.1,ECU
0,Motorcycle,1,Engine,1.3,Battery,1.3.2,Starter
0,Motorcycle,1,Engine,1.3,Battery,1.3.1,ECU
0,Motorcycle,1,Engine,1.3.2,Starter,1.3.2.1,Stator
0,Motorcycle,2,Frame,1.3.2,Starter,1.3.2.1,Stator
0,Motorcycle,1,Engine,1.3.2.1,Stator,1.3.2.1.1,Stator Wiring
0,Motorcycle,2,Frame,1.3.2.1,Stator,1.3.2.1.1,Stator Wiring
0,Motorcycle,1,Engine,2,Frame,2.3,Headlight
0,Motorcycle,1,Engine,2,Frame,2.2,Seat
0,Motorcycle,1,Engine,2,Frame,2.1,Handlebars
0,Motorcycle,2,Frame,2,Frame,2.3,Headlight
0,Motorcycle,2,Frame,2,Frame,2.2,Seat
0,Motorcycle,2,Frame,2,Frame,2.1,Handlebars
0,Motorcycle,2,Frame,2.1,Handlebars,2.1.2,Throttle
0,Motorcycle,1,Engine,2.1,Handlebars,2.1.2,Throttle
0,Motorcycle,1,Engine,2.1,Handlebars,2.1.3,Kill Switch
0,Motorcycle,2,Frame,2.1,Handlebars,2.1.3,Kill Switch
0,Motorcycle,1,Engine,2.1.2,Throttle,2.1.2.1,Throttle Cables
0,Motorcycle,2,Frame,2.1.2,Throttle,2.1.2.1,Throttle Cables
0,Motorcycle,2,Frame,2.2,Seat,2.2.1,Foam
0,Motorcycle,1,Engine,2.2,Seat,2.2.2,Fabric
0,Motorcycle,2,Frame,2.2,Seat,2.2.2,Fabric
0,Motorcycle,1,Engine,2.2,Seat,2.2.1,Foam
0,Motorcycle,2,Frame,2.3,Headlight,2.3.1,Bulb
0,Motorcycle,1,Engine,2.3,Headlight,2.3.1,Bulb
0,Motorcycle,1,Engine,2.3,Headlight,2.3.2,Headlight Wiring
0,Motorcycle,2,Frame,2.3,Headlight,2.3.2,Headlight Wiring
1,Engine,1.1,Transmission,1,Engine,1.3,Battery
1,Engine,1.1,Transmission,1.1,Transmission,1.1.1,Clutch
1,Engine,1.3,Battery,1.1,Transmission,1.1.1,Clutch
1,Engine,1.3,Battery,1.1,Transmission,1.1.3,Belt
1,Engine,1.1,Transmission,1.1,Transmission,1.1.2,Variator
1,Engine,1.1,Transmission,1.1,Transmission,1.1.3,Belt
1,Engine,1.3,Battery,1.1,Transmission,1.1.2,Variator
1,Engine,1.1,Transmission,1.1.1,Clutch,1.1.1.2,Torque Plates
1,Engine,1.3,Battery,1.1.1,Clutch,1.1.1.2,Torque Plates
1,Engine,1.2,Head,1.2,Head,1.2.1,Pistons
1,Engine,1.2,Head,1.2,Head,1.2.2,Rings
1,Engine,1.3,Battery,1.3,Battery,1.3.2,Starter
1,Engine,1.1,Transmission,1.3,Battery,1.3.2,Starter
1,Engine,1.1,Transmission,1.3,Battery,1.3.1,ECU
1,Engine,1.3,Battery,1.3,Battery,1.3.1,ECU
1,Engine,1.3,Battery,1.3.2,Starter,1.3.2.1,Stator
1,Engine,1.1,Transmission,1.3.2,Starter,1.3.2.1,Stator
1,Engine,1.1,Transmission,1.3.2.1,Stator,1.3.2.1.1,Stator Wiring
1,Engine,1.3,Battery,1.3.2.1,Stator,1.3.2.1.1,Stator Wiring
